id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
70453,Home in Vancouver · ★4.94 · 2 bedrooms · 2 beds · 1.5 baths,56709,Samantha Jo,,Downtown Eastside,49.27836,-123.08716,Entire home/apt,518,3,33,2023-03-19,0.34,4,7,7,19-162091
72659,Condo in Vancouver · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,375168,Donna,,Grandview-Woodland,49.27345,-123.07031,Entire home/apt,210,7,12,2018-05-23,0.09,1,167,0,21-157075
73841,Rental unit in Vancouver · ★4.74 · 1 bedroom · 1 bed · 1 bath,386761,Ying Ying,,Downtown,49.27591,-123.12359,Entire home/apt,129,30,20,2022-08-06,0.14,1,222,2,
77157,Guest suite in Vancouver · ★4.82 · 1 bedroom · 3 beds · 1 bath,412802,Anne,,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,165,2,742,2023-05-26,4.98,2,263,52,22-156332
98830,Rental unit in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,520997,Cristina,,Downtown,49.27936,-123.12443,Entire home/apt,169,30,270,2022-10-02,1.83,1,32,3,18-550967
125176,Home in Vancouver · ★4.68 · 1 bedroom · 2 beds · 1 private bath,622926,Mark,,Riley Park,49.24615,-123.09462,Private room,115,3,618,2023-06-01,4.28,1,161,58,23-157050
134688,Home in Vancouver · ★4.60 · 2 bedrooms · 1 bed · 1 shared bath,653436,Pirike,,Renfrew-Collingwood,49.24356,-123.04757,Private room,40,30,44,2023-02-28,0.31,5,206,1,
140698,Loft in Vancouver · ★4.85 · 1 bedroom · 5 beds · 1 bath,69640,Stephen,,Mount Pleasant,49.26262921,-123.1044384,Entire home/apt,125,6,155,2023-05-28,1.07,1,141,20,21-156960
170137,Home in Vancouver · ★4.87 · 3 bedrooms · 3 beds · 2 baths,381497,Catherine,,Dunbar Southlands,49.25757,-123.18966,Entire home/apt,175,2,217,2023-06-07,1.51,1,8,29,23-156479
172827,Condo in Vancouver · ★4.86 · 2 bedrooms · 2 beds · 2 baths,19982,Fernande,,Downtown,49.28034,-123.12648,Entire home/apt,400,10,7,2019-12-28,0.12,1,0,0,18 549804 SA
196722,Townhouse in Vancouver · ★4.38 · 3 bedrooms · 4 beds · 3.5 baths,958297,Elana & Gary,,Grandview-Woodland,49.2634,-123.0712,Entire home/apt,250,7,13,2019-08-17,0.12,1,158,0,18-549903
219261,Rental unit in Vancouver · ★4.60 · 2 bedrooms · 2 beds · 1 bath,1135259,Rami,,Kitsilano,49.2719,-123.15043,Entire home/apt,320,2,245,2023-06-07,2.98,3,250,28,21-157255
248014,Home in Vancouver · 2 bedrooms · 2 beds · 1 bath,1299977,Gabriella,,Grandview-Woodland,49.29103,-123.05782,Entire home/apt,100,30,1,2014-09-04,0.01,1,203,0,
254657,Loft in Vancouver · ★4.92 · 1 bedroom · 1 bed · 1 bath,241920,Scott,,Downtown Eastside,49.28375,-123.10383,Entire home/apt,250,6,84,2022-09-14,0.68,1,5,10,22-156187
256178,Home in Vancouver · ★5.0 · 2 bedrooms · 4 beds · 1 bath,1267409,Julia,,Kitsilano,49.26293,-123.17143,Entire home/apt,153,30,24,2021-12-31,0.19,2,41,0,21-156342
306178,Rental unit in Vancouver · ★4.95 · 1 bedroom · 1 bed · 1 private bath,1574553,Michelle,,Renfrew-Collingwood,49.23273,-123.02747,Private room,108,2,84,2022-10-09,0.65,2,59,12,
311354,Home in Vancouver · ★4.0 · 3 bedrooms · 3 beds · 2 baths,58512,Q,,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,100,365,6,2019-12-21,0.09,5,89,0,18-475635
322824,Condo in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 bath,1652613,Blake,,Downtown,49.27608,-123.12452,Entire home/apt,164,30,154,2023-05-31,1.13,2,134,7,
323090,Rental unit in Vancouver · ★4.76 · 1 bedroom · 1 bed · 1 bath,1555022,Katya And Nick,,Downtown,49.28244,-123.12293,Entire home/apt,168,30,71,2018-04-03,0.52,2,32,0,
359942,Rental unit in Vancouver · ★4.86 · 2 bedrooms · 1 bed · 1 shared bath,1200456,Nala,,Downtown,49.27634,-123.11825,Private room,251,2,46,2022-09-11,0.34,6,354,2,
377706,Condo in Vancouver · ★4.69 · 1 bedroom · 1 bed · 1 private bath,1898008,Tina,,Grandview-Woodland,49.27799,-123.07101,Private room,48,30,59,2022-10-11,0.45,1,99,2,
415700,Home in Vancouver · ★4.74 · 1 bedroom · 1 bed · 1 private bath,83871,Adam,,Renfrew-Collingwood,49.2332,-123.0551,Private room,69,30,249,2023-06-03,1.83,3,128,20,23-156649
436032,Loft in Vancouver · ★4.83 · 2 bedrooms · 2 beds · 1 bath,2165986,Kristy,,Downtown Eastside,49.28211,-123.10453,Entire home/apt,289,3,134,2023-05-21,1,1,253,30,23-156407
448104,Condo in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,179396,Lili,,Downtown,49.28063,-123.12502,Entire home/apt,208,30,270,2023-06-02,2,3,61,8,21-104936
461370,Home in Vancouver · ★4.65 · 1 bedroom · 1 bed · 1 private bath,1200456,Nala,,Killarney,49.22834,-123.03047,Private room,136,2,49,2023-05-07,0.37,6,365,4,
461386,Home in Vancouver · ★4.39 · 1 bedroom · 1 bed · 1 private bath,1200456,Nala,,Killarney,49.23034,-123.02971,Private room,131,2,41,2022-09-23,0.31,6,365,5,
464172,Home in Vancouver · ★4.80 · 2 bedrooms · 2 beds · 1 bath,2189535,Martine,,Hastings-Sunrise,49.28586,-123.05563,Entire home/apt,257,3,5,2022-08-13,0.04,1,40,2,22-157679
475296,Loft in Vancouver · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,2356016,Jocelyn,,Downtown Eastside,49.28241,-123.10381,Entire home/apt,400,2,205,2023-05-28,1.71,1,296,31,22-156464
485225,Place to stay in Vancouver · 1 bedroom · 1 bed · 1 bath,103427,Jacqueline M,,Downtown,49.28052,-123.12691,Entire home/apt,367,2,1,2014-08-04,0.01,2,365,0,Exempt
496298,Rental unit in Vancouver · ★4.92 · 1 bedroom · 3 beds · 1 bath,2451689,Marlin,,Downtown,49.28062,-123.11815,Entire home/apt,131,31,163,2023-04-01,1.22,1,303,4,
498112,Home in Vancouver · ★4.70 · 4 bedrooms · 4 beds · 2 baths,2459577,Allison,,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,375,9,35,2022-08-28,0.26,2,120,4,23-156712
507767,Serviced apartment in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,2502595,Level Hotels And Furnished Suites,,Downtown,49.27741,-123.12292,Entire home/apt,210,30,3,2020-07-30,0.02,41,315,0,
540348,Home in Vancouver · ★4.91 · 3 bedrooms · 3 beds · 1 bath,2655554,Kristen,,Kensington-Cedar Cottage,49.25759,-123.06393,Entire home/apt,500,1,75,2023-05-14,0.63,1,296,30,23-156786
557357,Home in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 bath,525761,Diane,,Grandview-Woodland,49.27917,-123.06246,Entire home/apt,80,30,194,2022-10-31,1.46,1,28,2,19-114782
622217,Condo in Vancouver · ★4.96 · 3 bedrooms · 3 beds · 2 baths,3084195,Arash,,Downtown,49.27999,-123.1075,Entire home/apt,1025,2,57,2023-05-13,0.47,2,121,3,23-156527
625396,Home in Vancouver · ★4.76 · 1 bedroom · 2 beds · 1 bath,3102862,The Vancouver Connection!,,Kitsilano,49.27066,-123.18291,Entire home/apt,256,2,178,2023-05-30,1.35,1,309,10,19-179923
648026,Guest suite in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,893727,Peter & Robin,,Grandview-Woodland,49.26775,-123.06862,Entire home/apt,110,30,64,2022-10-06,0.49,1,109,2,20-154141
654744,Rental unit in Vancouver · ★4.75 · 2 bedrooms · 3 beds · 2 baths,2796859,James,,West End,49.29178,-123.14175,Entire home/apt,160,30,71,2023-04-19,0.58,1,244,5,19-104667
654763,Guest suite in Vancouver · ★4.73 · 1 bedroom · 1 bed · 1 bath,2459577,Allison,,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,52,30,24,2023-05-14,0.2,2,0,2,
659986,Home in Vancouver · ★4.33 · 1 bedroom · 1 bed · 1 private bath,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,99,31,27,2018-05-06,0.21,1,0,0,86-13134
703179,Condo in Vancouver · ★4.80 · 1 bedroom · 1 bed · 1 bath,3246254,Izabela,,Downtown,49.27945,-123.10875,Entire home/apt,140,3,175,2023-03-10,1.38,1,0,2,23-156717
713271,Rental unit in Vancouver · ★4.77 · 1 bedroom · 1 bed · 1 bath,3671073,Susan,,West End,49.28104,-123.13621,Entire home/apt,135,30,90,2023-04-09,0.74,1,239,5,
731219,Guesthouse in Vancouver · ★4.92 · 1 bedroom · 2 beds · 1 bath,3804851,Fran & Julian,,Kitsilano,49.26026,-123.18195,Entire home/apt,155,31,13,2022-10-11,0.11,1,13,1,
735468,Rental unit in Vancouver · ★4.63 · 1 bedroom · 2 beds · 1 bath,3462044,Shea,,West End,49.28059,-123.1364,Entire home/apt,220,1,189,2023-06-09,3.04,1,332,38,22-157544
754118,Rental unit in Vancouver · 2 bedrooms · 2 beds · 2 baths,3967530,Eric,,Kensington-Cedar Cottage,49.2493764,-123.0899203,Entire home/apt,116,30,0,,,1,36,0,
755558,Guest suite in Vancouver · ★4.86 · 2 bedrooms · 2 beds · 1 bath,3976484,Lori,,Kitsilano,49.25996,-123.16653,Entire home/apt,125,2,78,2021-01-23,0.65,1,0,0,21-157483
763445,Guest suite in Vancouver · ★4.78 · 1 bedroom · 1 bed · 1 bath,169365,Peter,,Renfrew-Collingwood,49.24438,-123.04453,Entire home/apt,70,4,217,2023-05-19,1.71,1,12,35,23-156422
771366,Serviced apartment in Vancouver · ★5.0 · Studio · 1 bed · 1 bath,2502595,Level Hotels And Furnished Suites,,Downtown,49.27835083,-123.1224136,Entire home/apt,180,30,8,2023-05-05,0.07,41,314,3,
771380,Serviced apartment in Vancouver · ★4.67 · 2 bedrooms · 3 beds · 2 baths,2502595,Level Hotels And Furnished Suites,,Downtown,49.27835083,-123.1224136,Entire home/apt,300,30,9,2022-07-31,0.07,41,317,1,
784153,Guest suite in Vancouver · ★4.77 · 1 bedroom · 1 bed · 1 bath,3211112,Rasha,,Kitsilano,49.26186,-123.17438,Entire home/apt,120,30,59,2023-05-25,0.46,4,224,5,Long Term Listing
785297,Guest suite in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 private bath,3211112,Rasha,,Kitsilano,49.26355,-123.17326,Private room,104,14,80,2023-05-09,0.62,4,9,8,23-156379
785752,Guest suite in Vancouver · ★5.0 · 2 bedrooms · 3 beds · 2 baths,3211112,Rasha,,Kitsilano,49.26213,-123.17482,Entire home/apt,134,30,3,2016-09-17,0.02,4,252,0,Long Term Rental Only
796603,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 shared bath,4196444,Milorad,,West End,49.28087,-123.13525,Shared room,30,30,0,,,1,0,0,
801222,Rental unit in Vancouver · ★4.59 · 1 bedroom · 1 bed · 1 bath,4217281,Jennifer,,Fairview,49.25804,-123.12119,Entire home/apt,78,30,23,2021-10-26,0.19,3,223,0,
824612,Guest suite in Vancouver · ★4.61 · 1 bedroom · 1 bed · 1 bath,4326869,Marketa,,Hastings-Sunrise,49.28618,-123.05403,Entire home/apt,84,31,72,2023-04-04,0.57,1,19,5,
874731,Townhouse in Vancouver · ★4.55 · 1 bedroom · 1 bed · 1 private bath,2216706,Matthew,,Fairview,49.25785,-123.12199,Private room,139,8,67,2023-04-27,0.55,1,66,9,
875309,Home in Vancouver · ★4.74 · 2 bedrooms · 2 beds · 1.5 baths,4621004,Judy,,Kitsilano,49.27073,-123.16325,Entire home/apt,375,7,35,2022-08-14,0.28,1,17,3,23-156622
885600,Guest suite in Vancouver · ★4.92 · 1 bedroom · 1 bed · 1 bath,4693732,David & Patti,,Dunbar Southlands,49.24803,-123.18517,Entire home/apt,130,3,255,2023-06-03,2.04,1,165,37,23-156307
958090,Rental unit in Vancouver · ★4.20 · Studio · 2 beds · 1 bath,1200456,Nala,,Downtown,49.27744,-123.11524,Entire home/apt,444,30,10,2013-09-30,0.08,6,365,0,
961006,Guest suite in Vancouver · ★4.33 · 2 bedrooms · 2 beds · 1 bath,5233549,Joyce,,Riley Park,49.23569,-123.10987,Entire home/apt,219,1,7,2017-07-21,0.06,4,0,0,20-185023
961831,Home in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,3751879,Jayden,,Kitsilano,49.26648,-123.15939,Private room,121,4,39,2023-04-20,1.36,2,100,16,
980511,Rental unit in Vancouver · ★4.78 · Studio · 1 bed · 1 bath,600607,Martello,,Downtown,49.27489,-123.12654,Entire home/apt,83,30,9,2022-05-20,0.09,34,0,0,
995174,Rental unit in Vancouver · ★4.60 · 2 bedrooms · 2 beds · 2 baths,600607,Martello,,West End,49.28837,-123.12766,Entire home/apt,111,30,15,2023-02-13,0.12,34,0,2,
1007137,Rental unit in Vancouver · 2 bedrooms · 2 beds · 2 baths,5539641,Selina,,Downtown,49.27804,-123.12531,Entire home/apt,280,180,2,2014-05-23,0.02,2,365,0,
1007144,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,5539641,Selina,,Downtown,49.27828,-123.12671,Entire home/apt,180,180,1,2013-06-02,0.01,2,365,0,
1012385,Home in Vancouver · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,5569906,Mark Anthony,,Mount Pleasant,49.25674,-123.0874,Entire home/apt,108,2,339,2023-06-07,2.75,1,277,34,23-156575
1015935,Guesthouse in Vancouver · ★4.80 · Studio · 1 bed · 1 bath,56709,Samantha Jo,,Downtown Eastside,49.2804,-123.08908,Entire home/apt,130,30,218,2023-05-14,1.76,4,281,3,19-162091
1021607,Condo in Vancouver · ★4.85 · Studio · 2 beds · 1 bath,5623565,Hajime,,Downtown,49.27747,-123.12098,Entire home/apt,80,30,109,2023-05-31,0.88,2,65,7,Exempt
1021669,Condo in Vancouver · ★4.74 · Studio · 1 bed · 1 bath,5623565,Hajime,,Downtown,49.27703,-123.12692,Entire home/apt,80,30,149,2023-05-03,1.21,2,65,6,Exempt
1032892,Home in Vancouver · ★4.85 · 1 bedroom · 1 bed · 1 private bath,2378744,Lori,,Grandview-Woodland,49.27241,-123.06332,Private room,125,2,106,2023-06-05,0.86,1,76,29,
1061895,Condo in Vancouver · ★4.73 · 1 bedroom · 1 bed · 1.5 baths,5845838,Jenny,,Renfrew-Collingwood,49.24166,-123.0407,Private room,86,2,77,2023-05-31,0.89,1,7,19,
1109821,Rental unit in Vancouver · ★4.45 · 1 bedroom · 1 bed · 1 bath,600607,Martello,,West End,49.29258,-123.13446,Entire home/apt,73,365,11,2019-03-23,0.1,34,0,0,
1113551,Home in Vancouver · ★4.83 · 4 bedrooms · 6 beds · 2 baths,5231060,Liz,,Kitsilano,49.26110077,-123.1595459,Entire home/apt,560,7,43,2022-12-28,0.36,1,19,3,23-156690
1118858,Home in Vancouver · ★4.55 · 1 bedroom · 1 bed · 1 private bath,70137,Kai,,West End,49.28239,-123.13021,Private room,95,30,61,2022-12-30,0.5,4,302,1,
1141457,Home in Vancouver · ★4.72 · 2 bedrooms · 2 beds · 1 bath,6067405,Paige And Grant,,Downtown Eastside,49.27925,-123.08814,Entire home/apt,160,3,314,2023-06-04,2.56,1,221,25,23-156738
1178149,Guest suite in Vancouver · ★4.92 · 1 bedroom · 1 bed · 1 bath,6165412,Sylvia,,Hastings-Sunrise,49.26957,-123.04828,Entire home/apt,104,3,71,2023-05-29,1.19,1,133,22,23-156432
1187929,Home in Vancouver · ★4.85 · 2 bedrooms · 2 beds · 2 baths,6495937,Janet,,Kensington-Cedar Cottage,49.24965,-123.07027,Entire home/apt,197,7,111,2023-01-05,0.92,1,14,17,22-262354
1191143,Home in Vancouver · ★4.75 · 3 bedrooms · 3 beds · 1.5 baths,598979,Mary,,Kitsilano,49.26716,-123.17653,Entire home/apt,450,5,16,2023-04-16,0.15,2,173,4,23-158044
1214617,Guest suite in Vancouver · ★4.87 · 2 bedrooms · 2 beds · 1 bath,6630357,Divina And Viv,,Grandview-Woodland,49.26731,-123.06909,Entire home/apt,269,3,231,2023-05-28,1.91,1,202,28,23-156478
1223989,Condo in Vancouver · ★4.85 · Studio · 1 bed · 1 bath,6677154,Amanda,,Downtown,49.27843,-123.12901,Entire home/apt,135,90,101,2021-01-31,0.83,1,61,0,
1229506,Home in Vancouver · ★4.90 · 3 bedrooms · 3 beds · 2.5 baths,1742728,Karen,,Grandview-Woodland,49.26596,-123.06844,Entire home/apt,520,4,11,2022-08-21,0.09,1,171,4,22-233958
1273760,Boutique hotel in Vancouver · ★4.87 · 1 bedroom · 2 beds · 1 private bath,6033,Cam,,Downtown,49.28478,-123.1192,Private room,275,2,545,2023-05-25,4.51,2,257,55,Exempt
1291394,Guest suite in Vancouver · ★4.90 · 3 bedrooms · 4 beds · 2 baths,7021457,Leila,,Kitsilano,49.26889,-123.18543,Entire home/apt,150,30,40,2023-06-01,0.33,2,40,1,22-174488
1309315,Home in Vancouver · ★4.29 · 4 bedrooms · 4 beds · 3 baths,7116781,Hugh & Caryn,,Mount Pleasant,49.26719,-123.10982,Entire home/apt,399,5,7,2022-08-29,0.06,1,0,2,22-233957
1316477,Rental unit in Vancouver · ★4.86 · 1 bedroom · 1 bed · 1 bath,600607,Martello,,Downtown,49.27859,-123.11993,Entire home/apt,83,90,7,2020-09-30,0.08,34,0,0,
1343411,Condo in Vancouver · ★4.70 · 1 bedroom · 1 bed · 1 bath,6904778,Mari,,Downtown Eastside,49.27627,-123.10013,Entire home/apt,95,1,55,2020-11-22,0.58,1,0,0,18-615245
1343519,Home in Vancouver · ★4.48 · 1 bedroom · 1 bed · 1 private bath,70137,Kai,,West End,49.28247,-123.13068,Private room,95,30,69,2023-04-03,0.63,4,358,3,
1360765,Rental unit in Vancouver · ★4.75 · 1 bedroom · 1 bed · 1 bath,7338933,Sadiq,,Downtown,49.284,-123.11432,Entire home/apt,100,30,118,2023-05-14,0.98,3,205,5,
1361276,Home in Vancouver · ★4.72 · 3 bedrooms · 2 beds · 1 bath,1743089,Darren,,Kensington-Cedar Cottage,49.25808,-123.07538,Entire home/apt,160,5,18,2023-03-21,0.15,3,4,2,23-156612
1365609,Rental unit in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 bath,7336501,Maha,,West End,49.27932,-123.12911,Entire home/apt,273,4,169,2023-06-02,1.41,1,70,41,23-156274
1378220,Home in Vancouver · ★4.66 · 1 bedroom · 2 beds · 1 bath,7465731,Brian,,West Point Grey,49.26026,-123.20135,Entire home/apt,141,3,99,2023-05-29,1.17,2,25,16,23-156726
1380472,Rental unit in Vancouver · ★4.94 · 1 bedroom · 1 bed · 1 bath,6848356,Tina,,Downtown,49.28284,-123.12335,Entire home/apt,250,30,16,2023-05-30,0.13,2,50,6,18-464035
1393599,Condo in Vancouver · 2 bedrooms · 2 beds · 2 baths,2118525,Slavica,,Downtown,49.27393,-123.10069,Entire home/apt,200,30,1,2022-12-10,0.16,1,117,1,
1398788,Guesthouse in Vancouver · ★4.90 · 1 bedroom · 2 beds · 1 bath,7554741,Ruth,,Arbutus Ridge,49.23968,-123.16762,Entire home/apt,134,31,95,2023-02-03,0.79,1,125,3,
1399744,Rental unit in Vancouver · ★4.77 · 2 bedrooms · 4 beds · 2 baths,7560143,Sandy,,Mount Pleasant,49.26964,-123.11064,Entire home/apt,450,30,13,2023-05-17,0.12,1,172,1,
1466647,Rental unit in Vancouver · ★4.23 · 1 bedroom · 1 bed · 1 bath,7856227,Christian,,Downtown Eastside,49.28164,-123.11006,Entire home/apt,199,30,14,2020-08-31,0.13,1,89,0,18-646182
1502887,Rental unit in Vancouver · ★4.80 · 2 bedrooms · 2 beds · 2 baths,600607,Martello,,Downtown,49.29014,-123.12716,Entire home/apt,139,180,5,2018-12-01,0.04,34,0,0,
1507975,Home in Vancouver · ★4.72 · 1 bedroom · 1 bed · 1 private bath,51695,Natasha & Paolo,,Riley Park,49.24882,-123.09121,Private room,81,3,322,2023-05-26,2.69,1,210,37,22-156286
1525113,Rental unit in Vancouver · ★4.40 · Studio · 1 bed · 1 bath,600607,Martello,,West End,49.29101,-123.14085,Entire home/apt,80,30,15,2023-06-01,0.14,34,0,4,
1610084,Guesthouse in Vancouver · ★4.88 · Studio · 2 beds · 1 bath,8556789,Lana,,Kensington-Cedar Cottage,49.25935559,-123.0613136,Entire home/apt,191,2,175,2023-05-23,1.47,1,260,35,23-157136
1620084,Guest suite in Vancouver · 1 bedroom · 1 bed · 1 bath,8618932,Fawziah,,Kensington-Cedar Cottage,49.24001,-123.08278,Entire home/apt,162,7,2,2023-06-02,0.04,1,103,1,706663
1623556,Home in Vancouver · ★4.67 · 2 bedrooms · 2 beds · 1 bath,8633501,Robin,,Riley Park,49.25259,-123.09292,Entire home/apt,95,3,316,2023-05-22,2.66,1,157,36,22-156281
1629480,Guest suite in Vancouver · ★4.82 · 1 bedroom · 1 bed · 1 bath,8660533,Tracy And Richard,,Riley Park,49.25225,-123.10756,Entire home/apt,85,30,141,2023-04-25,1.28,1,165,7,
1657214,Loft in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 2 baths,8784861,Dianna,,Downtown Eastside,49.28167,-123.10984,Entire home/apt,250,30,5,2021-05-08,0.04,1,295,0,
1703616,Rental unit in Vancouver · 1 bedroom · 1 bed · 1.5 baths,8993938,James And Jewel,,Kitsilano,49.26548,-123.14579,Entire home/apt,180,30,2,2023-02-28,0.15,1,299,1,
1717967,Rental unit in Vancouver · ★4.92 · 2 bedrooms · 2 beds · 1 bath,9057463,Mary,,Riley Park,49.24778,-123.09867,Entire home/apt,250,2,334,2023-05-31,2.88,1,132,36,23-156482
1733307,Condo in Vancouver · ★4.88 · 1 bedroom · 3 beds · 1 bath,9131888,Cindy,,Downtown,49.27781,-123.10637,Entire home/apt,297,1,108,2023-06-09,5.05,1,177,68,23-157545
