,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,clusters,cluster
4698,49.2779918,-123.1187862,160,30,1,0.54,1,290,1,2,dark purple
4699,49.27574,-123.12777,196,2,46,7.62,4,48,46,0,pink
4700,49.28373,-123.13628,76,30,1,0.63,1,284,1,2,dark purple
4701,49.2665753,-123.1801855,150,30,0,0.0,1,16,0,0,pink
4702,49.26389,-123.17043,69,30,1,0.46,2,42,1,0,pink
4703,49.26474978,-123.0854105,193,1,2,0.54,1,89,2,0,pink
4704,49.23019,-123.05503,145,2,18,3.21,2,41,18,0,pink
4705,49.2454134,-123.0685798,250,1,6,1.07,1,124,6,0,pink
4706,49.27029,-123.17846,146,3,16,2.91,1,5,16,0,pink
4707,49.26406,-123.0908,117,3,0,0.0,1,0,0,0,pink
4708,49.26904,-123.10117,188,2,45,7.38,5,46,45,0,pink
4709,49.2745482,-123.127821,300,30,0,0.0,1,364,0,2,dark purple
4710,49.28057,-123.10079,149,30,0,0.0,2,231,0,2,dark purple
4711,49.21332,-123.1347,200,1,45,7.38,2,221,45,2,dark purple
4712,49.2153333,-123.0822779,171,1,16,2.81,40,85,16,0,pink
4713,49.2801668,-123.1079339,121,1,29,4.81,3,267,29,2,dark purple
4714,49.2796404,-123.1088566,285,2,35,5.83,1,129,35,0,pink
4715,49.26918263,-123.1023726,240,3,19,5.38,1,97,19,0,pink
4716,49.2796505,-123.1001372,209,2,18,2.95,1,74,18,0,pink
4717,49.27223,-123.06921,120,4,1,0.18,2,190,1,2,dark purple
4718,49.28688079,-123.0616798,458,1,23,4.83,1,311,23,1,purple
4719,49.2449905,-123.1178185,141,1,32,5.27,1,162,32,0,pink
4720,49.26213,-123.15096,272,2,3,0.53,1,6,3,0,pink
4721,49.220023,-123.0556894,70,30,0,0.0,2,31,0,0,pink
4722,49.26346,-123.15545,110,30,1,1.0,1,147,1,0,pink
4723,49.27837,-123.12056,253,2,19,3.41,28,24,19,0,pink
4724,49.22283,-123.14469,374,3,11,1.9,9,136,11,1,purple
4725,49.23318423,-123.0712898,276,3,15,3.28,1,60,15,0,pink
4726,49.2732699,-123.1297751,339,29,3,3.0,1,110,3,1,purple
4727,49.25222,-123.09185,221,2,12,2.21,1,0,12,0,pink
4728,49.28649,-123.12338,339,2,26,4.46,3,75,26,1,purple
4729,49.25320249,-123.1718401,154,2,4,4.0,1,86,4,0,pink
4730,49.25792,-123.18858,488,1,3,0.49,2,285,3,1,purple
4731,49.23041,-123.0571,149,1,20,3.61,2,39,20,0,pink
4732,49.23421,-123.102,213,1,25,4.1,4,158,25,0,pink
4733,49.24598,-123.18609,274,1,0,0.0,2,29,0,0,pink
4734,49.27973,-123.12074,336,2,39,6.76,2,197,39,1,purple
4735,49.26564,-123.05446,119,30,1,1.0,112,309,1,2,dark purple
4736,49.28128,-123.12194,260,3,16,3.43,1,33,16,0,pink
