,listing_id,variable,value
488,12321367,price,150.0
489,12345888,price,170.0
490,12391067,price,110.0
491,12423800,price,350.0
492,12449836,price,99.0
493,12490989,price,219.0
494,12500432,price,93.0
495,12511561,price,89.0
496,12520418,price,100.0
497,12522460,price,144.0
498,12522873,price,185.0
499,12542874,price,325.0
500,12547979,price,199.0
501,12561247,price,146.0
502,12604369,price,199.0
503,12604736,price,158.0
504,12606189,price,127.0
505,12611121,price,190.0
506,12754577,price,100.0
507,12762068,price,75.0
508,12791718,price,101.0
509,12798674,price,230.0
510,12815958,price,135.0
511,12829633,price,55.0
512,12853613,price,333.0
513,12952602,price,209.0
514,13000591,price,92.0
515,13007169,price,150.0
516,13021044,price,110.0
517,13035303,price,38.0
518,13065799,price,175.0
519,13093588,price,150.0
520,13095062,price,150.0
521,13095272,price,100.0
522,13111653,price,200.0
523,13205734,price,101.0
524,13274735,price,162.0
525,13284025,price,180.0
526,13284465,price,330.0
527,13297246,price,239.0
528,13317612,price,275.0
529,13346084,price,440.0
530,13350002,price,218.0
531,13358432,price,60.0
532,13361855,price,85.0
533,13396760,price,306.0
534,13416108,price,310.0
535,13449614,price,45.0
536,13452560,price,62.0
537,13525164,price,99.0
538,13592885,price,84.0
539,13606952,price,235.0
540,13607124,price,148.0
541,13607164,price,145.0
542,13619735,price,235.0
543,13621955,price,800.0
544,13659871,price,450.0
545,13669501,price,330.0
546,13673539,price,198.0
547,13684395,price,115.0
548,13701691,price,82.0
549,13766869,price,100.0
550,13767831,price,160.0
551,13784356,price,121.0
552,13815501,price,168.0
553,13817015,price,77.0
554,13829747,price,180.0
555,13831080,price,150.0
556,13843432,price,120.0
557,13858633,price,471.0
558,13863209,price,350.0
559,13885190,price,171.0
560,13991632,price,170.0
561,13994841,price,122.0
562,13996470,price,69.0
563,13999349,price,255.0
564,13999471,price,136.0
565,14014285,price,199.0
566,14027258,price,140.0
567,14028670,price,175.0
568,14074932,price,90.0
569,14107152,price,151.0
570,14112422,price,130.0
571,14112559,price,120.0
572,14127036,price,180.0
573,14168267,price,268.0
574,14177739,price,349.0
575,14202073,price,365.0
576,14204145,price,119.0
577,14222707,price,211.0
578,14237741,price,114.0
579,14237820,price,91.0
580,14247519,price,169.0
581,14248978,price,142.0
582,14266530,price,169.0
583,14296335,price,85.0
584,14320418,price,99.0
585,14341031,price,150.0
586,14406551,price,429.0
587,14419998,price,150.0
588,14421266,price,120.0
589,14430109,price,95.0
590,14505465,price,137.0
591,14524029,price,161.0
592,14535292,price,125.0
593,14538753,price,177.0
594,14547306,price,265.0
595,14555310,price,110.0
596,14567822,price,110.0
597,14569204,price,148.0
598,14570210,price,121.0
599,14595350,price,169.0
600,14607432,price,68.0
